dataset,split,scene,variant,metric,value,metric_direction,source_file,valid_flag,note
glossy_synthetic,train,cat,base,valid_pair_count,10.0,count,docs/superpowers/logs/rc-refgs-fd-p2-lite-main-table-2026-05-29.csv,True,pair-count metric from earlier main consistency table; included as base/rc variants for ablation comparison
glossy_synthetic,train,cat,rc,mean_reflection_consistency,0.1153977930545806,lower,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,cat,rc,reflective_region_psnr,28.245301818847658,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,cat,rc,full_psnr,36.03758927753994,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,cat,rc,full_ssim,0.9857039712369442,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,cat,rc,full_lpips,0.0291747528826817,lower,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,cat,rc,reflective_psnr,36.875485352107454,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,cat,rc,reflective_ssim,0.9890196302107402,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,cat,rc,reflective_lpips,0.0188038112329585,lower,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,cat,rc,valid_pair_count,10.0,count,docs/superpowers/logs/rc-refgs-fd-p2-lite-main-table-2026-05-29.csv,True,pair-count metric from earlier main consistency table; included as base/rc variants for ablation comparison
